Practice,Report Name,Doctor,Salesperson,Account Setup Date,Street Address,City,State,Zip Code,Office Manager/Contact,Phone,Fax,Notes
Advanced Pain Care,Advanced Pain,"Dennison, Jones ",Maria Giacobbe,4/24/16,112 S Nikki View Dr,Brandon,FL,33511,"Vivian, Nicole",813-876-7600,813-438-5906,
Advanced Surgical Institute (ASI),,James Nassiri,Myhanh Nguyen,9/8/17,,,,,,,,
Alexander Orthopedic Associates,,Lubin,Maria Giacobbe,2/2/17,,,,,,,,
ARC,ARC,Anderson,Maria Giacobbe,4/14/17,13719 N Nebraska Ave Suite 101,Tampa,FL,33613,Scott Anderson,813-978-1300,813-345-8700,Portal Results Only
Bain Complete Wellness,Bain,Ramirez,Maria Giacobbe,10/3/16,,,,,,,,
Bee Ridge Family Practice ,Bee Ridge Family,Steven Gupta ,Nick Ribaudo ,1/26/2018,4541 Bee Ridge Road ,Sarasota ,FL ,34233,Tammi ,941-371-9355,941-379-8825,
Behavioral Connections ,Behavioral Connect,Christine Ellis ,,1/21/2018,1010 North Prospect Street ,Bowling Green ,OH ,43402,,419-352-5387,,
Bharminder Bedi ,,Bharminder Bedi ,Jessica ,2/1/2018,11814-B 56th St. N ,Tampa,FL ,33617,Tonya Leek ,813-985-7100,813-985-2288,
Christ Medical Center,Christ Medical,Tawfik,Kayla Hall,9/20/17,,,,,,,,
Convenient Medical,Convenient Med,Patwari,Maria Giacobbe,6/1/17,,,,,,,,
CRPM (Centers of Rehabilitation & Pain Medicine) ,,Albert Lai ,Myhanh Nguyen,1/19/2018,1041 E. Yorba Linda Blvd Suite 210 ,Placentia ,CA,92870,Kathy Martinez ,714-223-7000,714-223-7001,
Dean Medical Inc,Dean Medical,Byron Dean,Amy Crawford,9/19/17,,,,,,,,
Desert Pain Specialist ,Desert Pain,Albert Lai ,Myhanh Nguyen,1/19/2018,72780 County Club Drive Suite C-300,Rancho Mirage ,CA,92270,Kathy Martinez ,760-341-5550,760-341-6050,
Devlac Hall-Bowling Green ,,Steven Dood,Jong Bae ,1/31/2018,1033 Devlac Grove ,Bowling Green ,OH ,43402,,419-352-6460 x 3208,419-352-3407,
Dr Jay’s Urgent Care,Dr. Jay's Urgent,Burke Jackson,Kayla Hall,9/18/17,,,,,,,,
Elite Pain Specialist - Spring Hill,Elite,"Isenalumhe, Egas ",Maria Giacobbe,8/3/17,11151 Spring Hill Dr,Spring Hill,FL,34609,Lisa,352-515-0025,352-515-0174,
Family Medical Center ,Family Medical,"Garay-Guevara, Griggs, Wagner ",Amy Crawford,1/22/2018,4316 US Hwy 98 N ,Lakeland ,FL ,33809,Tomas ,863-853-7822,863-853-2335,
Gulf Coast Medical,Gulf Coast,"Baga, Walsh, Gutierrez, Holguin, Sallapudi, Fraser, Mascola, Reddy, Whapshare, Rogers, Aguila ",Maria Giacobbe,,,,,,,,,
